schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.4921,0,1977.9136,1.4695,RUN_WITHOUT_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.5149,0,1995.3187,1.4602,RUN_WITHOUT_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.4815,0,2024.6106,1.4991,RUN_WITHOUT_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.4905,0,2024.8204,1.4702,RUN_WITHOUT_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.5133,200,2010.7327,1.5086,RUN_WITHOUT_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.489,200,1987.0512,1.4976,RUN_WITHOUT_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.4888,200,1976.0545,1.4608,RUN_WITHOUT_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.5038,200,2018.7065,1.4586,RUN_WITHOUT_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.5165,400,2001.3488,1.5048,RUN_WITHOUT_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.5156,400,2004.7173,1.5077,RUN_WITHOUT_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.5146,400,2007.8237,1.5107,RUN_WITHOUT_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.4829,400,2006.9382,1.5473,RUN_WITHOUT_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4858,600,2003.7243,1.5403,RUN_WITHOUT_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.4928,600,2020.9945,1.5174,RUN_WITHOUT_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,300,rightFront,0.5171,600,2004.1267,1.5128,RUN_WITHOUT_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,300,rightBack,0.4978,600,2021.5848,1.4551,RUN_WITHOUT_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,400,leftFront,0.501,800,1978.2049,1.5461,RUN_WITHOUT_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,400,leftBack,0.5174,800,1973.5728,1.4532,RUN_WITHOUT_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,400,rightFront,0.5196,800,1976.9917,1.5005,RUN_WITHOUT_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,400,rightBack,0.5179,800,2004.9284,1.4954,RUN_WITHOUT_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,500,leftFront,0.5059,1000,1985.8756,1.5355,RUN_WITHOUT_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,500,leftBack,0.516,1000,2015.0165,1.4845,RUN_WITHOUT_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,500,rightFront,0.506,1000,1973.4061,1.4518,RUN_WITHOUT_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,500,rightBack,0.507,1000,1991.1726,1.5397,RUN_WITHOUT_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,600,leftFront,0.4859,1200,1972.7638,1.51,RUN_WITHOUT_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,600,leftBack,0.5168,1200,1981.5086,1.535,RUN_WITHOUT_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,600,rightFront,0.4934,1200,2023.8349,1.4897,RUN_WITHOUT_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,600,rightBack,0.4935,1200,1999.0908,1.4828,RUN_WITHOUT_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,700,leftFront,0.5074,1400,1982.2777,1.4655,RUN_WITHOUT_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,700,leftBack,0.4855,1400,2024.7613,1.5005,RUN_WITHOUT_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000016,ExampleOpMode,2025-03-15T10:00:00Z,700,rightFront,0.5182,1400,1976.5637,1.4892,RUN_WITHOUT_ENCODER,12.516
