schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.4902,0,1996.0983,1.4598,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.4935,0,1981.2564,1.5382,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.5178,0,2026.7789,1.5208,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.4886,0,2014.12,1.4545,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.4942,200,1999.2512,1.4562,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.517,200,1971.2977,1.4723,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.489,200,2011.5535,1.543,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.4824,200,1971.3234,1.5243,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.4825,400,1991.8955,1.5105,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.505,400,2022.3509,1.5389,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.4855,400,1995.5925,1.4891,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.4959,400,2029.5473,1.4859,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4981,600,1984.0396,1.5442,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.4856,600,2012.1186,1.4871,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,300,rightFront,0.4833,600,2018.1888,1.5297,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,300,rightBack,0.503,600,1977.1659,1.4752,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,400,leftFront,0.4923,800,2013.604,1.4786,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,400,leftBack,0.5039,800,2025.6911,1.5077,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,400,rightFront,0.4942,800,2024.0391,1.5306,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,400,rightBack,0.4878,800,1975.9647,1.459,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,500,leftFront,0.4818,1000,2002.143,1.4507,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,500,leftBack,0.5098,1000,1990.7387,1.5376,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,500,rightFront,0.5013,1000,2021.9904,1.5067,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,500,rightBack,0.5174,1000,1994.8711,1.4595,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,600,leftFront,0.5195,1200,2025.373,1.5407,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,600,leftBack,0.4993,1200,1988.9806,1.453,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,600,rightFront,0.5031,1200,1971.6357,1.492,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,600,rightBack,0.5088,1200,2023.0485,1.4546,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,700,leftFront,0.5127,1400,2007.5207,1.4577,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,700,leftBack,0.5171,1400,1976.1053,1.4975,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,700,rightFront,0.5106,1400,1982.6781,1.54,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,700,rightBack,0.4977,1400,2022.5969,1.4672,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,800,leftFront,0.481,1600,2012.9006,1.4715,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,800,leftBack,0.5051,1600,2019.9932,1.4671,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,800,rightFront,0.5189,1600,1982.5677,1.5004,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,800,rightBack,0.506,1600,2008.9821,1.4536,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,900,leftFront,0.4806,1800,1990.6602,1.4921,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,900,leftBack,0.4809,1800,2009.1214,1.4698,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,900,rightFront,0.5157,1800,2003.8723,1.469,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,900,rightBack,0.4991,1800,1974.9156,1.5022,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftFront,0.5186,2000,2023.8076,1.503,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftBack,0.5016,2000,1991.0003,1.5029,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightFront,0.4849,2000,1998.2285,1.5048,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightBack,0.4815,2000,1997.9726,1.4896,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftFront,0.5033,2200,2016.7674,1.4518,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftBack,0.5128,2200,1993.1429,1.5339,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightFront,0.5055,2200,2002.9983,1.5471,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightBack,0.508,2200,1993.2811,1.5466,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftFront,0.5117,2400,2024.1566,1.4572,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftBack,0.5179,2400,1990.9137,1.5471,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightFront,0.518,2400,1994.7102,1.5238,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightBack,0.4943,2400,2009.7803,1.5495,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftFront,0.5026,2600,2005.8633,1.5226,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftBack,0.506,2600,1977.4921,1.4866,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightFront,0.4976,2600,1988.0842,1.4629,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightBack,0.482,2600,2024.0858,1.5343,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftFront,0.5016,2800,2012.0567,1.519,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftBack,0.5083,2800,2007.6267,1.5418,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1400,rightFront,0.5146,2800,2020.1161,1.5367,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1400,rightBack,0.5042,2800,1999.0202,1.5434,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1500,leftFront,0.5063,3000,1988.2782,1.5365,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1500,leftBack,0.491,3000,2029.3085,1.4647,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1500,rightFront,0.4878,3000,2010.7725,1.5212,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1500,rightBack,0.4886,3000,2006.1391,1.4972,RUN_USING_ENCODER,12.42
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1600,leftFront,0.52,3200,2021.744,1.5387,RUN_USING_ENCODER,12.408
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1600,leftBack,0.513,3200,1997.8492,1.509,RUN_USING_ENCODER,12.408
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1600,rightFront,0.4889,3200,2027.8516,1.5428,RUN_USING_ENCODER,12.408
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1600,rightBack,0.5134,3200,2016.052,1.4601,RUN_USING_ENCODER,12.408
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1700,leftFront,0.5137,3400,2026.8179,1.4848,RUN_USING_ENCODER,12.396
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1700,leftBack,0.4883,3400,1980.6403,1.4575,RUN_USING_ENCODER,12.396
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1700,rightFront,0.4941,3400,1973.9566,1.524,RUN_USING_ENCODER,12.396
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1700,rightBack,0.5171,3400,2021.6695,1.469,RUN_USING_ENCODER,12.396
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1800,leftFront,0.5017,3600,2023.2585,1.5335,RUN_USING_ENCODER,12.384
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1800,leftBack,0.4985,3600,1981.4018,1.5403,RUN_USING_ENCODER,12.384
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1800,rightFront,0.509,3600,1990.1845,1.476,RUN_USING_ENCODER,12.384
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1800,rightBack,0.5182,3600,1976.263,1.5056,RUN_USING_ENCODER,12.384
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1900,leftFront,0.5135,3800,2027.3149,1.4902,RUN_USING_ENCODER,12.372
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1900,leftBack,0.5007,3800,1992.6459,1.5126,RUN_USING_ENCODER,12.372
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1900,rightFront,0.5163,3800,1981.6009,1.5499,RUN_USING_ENCODER,12.372
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,1900,rightBack,0.509,3800,1984.3401,1.5447,RUN_USING_ENCODER,12.372
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2000,leftFront,0.506,4000,1992.7726,1.5088,RUN_USING_ENCODER,12.36
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2000,leftBack,0.5154,4000,2001.7532,1.5492,RUN_USING_ENCODER,12.36
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2000,rightFront,0.482,4000,2020.4019,1.4817,RUN_USING_ENCODER,12.36
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2000,rightBack,0.4993,4000,2029.674,1.4864,RUN_USING_ENCODER,12.36
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2100,leftFront,0.5078,4200,2029.6326,1.5412,RUN_USING_ENCODER,12.348
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2100,leftBack,0.4869,4200,2004.4249,1.518,RUN_USING_ENCODER,12.348
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2100,rightFront,0.4817,4200,1972.8132,1.5134,RUN_USING_ENCODER,12.348
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2100,rightBack,0.4851,4200,2001.7062,1.4802,RUN_USING_ENCODER,12.348
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2200,leftFront,0.5019,4400,2015.4468,1.4906,RUN_USING_ENCODER,12.336
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2200,leftBack,0.4927,4400,2001.0503,1.5348,RUN_USING_ENCODER,12.336
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2200,rightFront,0.508,4400,2019.5627,1.4895,RUN_USING_ENCODER,12.336
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2200,rightBack,0.4989,4400,1986.9597,1.4622,RUN_USING_ENCODER,12.336
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2300,leftFront,0.4802,4600,2025.1655,1.5427,RUN_USING_ENCODER,12.324
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2300,leftBack,0.519,4600,2025.773,1.5136,RUN_USING_ENCODER,12.324
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2300,rightFront,0.5006,4600,2004.689,1.4642,RUN_USING_ENCODER,12.324
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2300,rightBack,0.5123,4600,2014.0243,1.5253,RUN_USING_ENCODER,12.324
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2400,leftFront,0.4933,4800,1995.1305,1.4929,RUN_USING_ENCODER,12.312
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2400,leftBack,0.5034,4800,2025.8578,1.4964,RUN_USING_ENCODER,12.312
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2400,rightFront,0.4908,4800,1977.8838,1.4585,RUN_USING_ENCODER,12.312
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2400,rightBack,0.5054,4800,1986.6482,1.512,RUN_USING_ENCODER,12.312
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2500,leftFront,0.5146,5000,2023.6211,1.472,RUN_USING_ENCODER,12.3
1,00000000-aaaa-0000-0000-000000000001,ExampleOpMode,2025-03-15T10:00:00Z,2500,leftBack,0.5044,5000,2007.3622,1.4931,RUN_USING_ENCODER,12.3
