schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.487,0,2002.1829,1.7794,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.4962,0,1979.4311,1.4763,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.4828,0,1998.0497,1.5286,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.4902,0,2003.1088,1.4864,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.4811,200,2000.9641,1.7968,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.5143,200,1981.3147,1.5381,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.5001,200,2022.8342,1.4598,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.5001,200,2020.1726,1.5394,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.5011,400,2021.0134,1.7631,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.4903,400,1979.9815,1.4992,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.5086,400,1981.7453,1.5005,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.5102,400,2000.7857,1.4675,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4984,600,2013.7921,1.7503,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.5085,600,2022.1675,1.4596,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,300,rightFront,0.5143,600,1993.1802,1.5182,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,300,rightBack,0.5186,600,2003.9089,1.5062,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,400,leftFront,0.5176,800,2002.6962,1.7682,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,400,leftBack,0.4955,800,1974.9601,1.4939,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,400,rightFront,0.5099,800,2021.6687,1.4731,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,400,rightBack,0.4899,800,2015.6658,1.4816,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,500,leftFront,0.5091,1000,2026.3218,1.8218,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,500,leftBack,0.5123,1000,2008.7711,1.4658,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,500,rightFront,0.5076,1000,2022.6151,1.4758,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,500,rightBack,0.4946,1000,2003.1296,1.494,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,600,leftFront,0.491,1200,1971.8096,1.806,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,600,leftBack,0.4907,1200,1979.655,1.543,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,600,rightFront,0.4989,1200,2027.3891,1.4879,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,600,rightBack,0.4852,1200,2025.0819,1.4926,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,700,leftFront,0.4817,1400,1988.7644,1.7885,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,700,leftBack,0.5126,1400,2019.182,1.5454,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,700,rightFront,0.4809,1400,1983.2118,1.5029,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,700,rightBack,0.4803,1400,2010.1823,1.454,RUN_USING_ENCODER,12.516
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,800,leftFront,0.4861,1600,1986.7254,1.8459,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,800,leftBack,0.4889,1600,2024.1397,1.5418,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,800,rightFront,0.5002,1600,2002.6019,1.4683,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,800,rightBack,0.4994,1600,1977.7534,1.5036,RUN_USING_ENCODER,12.504
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,900,leftFront,0.5042,1800,2027.1548,1.7668,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,900,leftBack,0.5142,1800,2023.0572,1.5399,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,900,rightFront,0.5183,1800,2029.6612,1.5183,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,900,rightBack,0.4984,1800,2003.3978,1.5004,RUN_USING_ENCODER,12.492
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftFront,0.513,2000,2006.0982,1.8271,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1000,leftBack,0.5019,2000,2005.8371,1.5381,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightFront,0.485,2000,1972.7001,1.4717,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1000,rightBack,0.5173,2000,2026.1425,1.4557,RUN_USING_ENCODER,12.48
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftFront,0.4981,2200,2000.7307,1.8039,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1100,leftBack,0.5184,2200,2024.5155,1.544,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightFront,0.5084,2200,1981.8766,1.4831,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1100,rightBack,0.4886,2200,1998.6842,1.4824,RUN_USING_ENCODER,12.468
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftFront,0.5148,2400,2001.3662,1.7677,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1200,leftBack,0.4918,2400,2005.6797,1.458,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightFront,0.4804,2400,2003.0087,1.4825,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1200,rightBack,0.4943,2400,1981.6951,1.4697,RUN_USING_ENCODER,12.456
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftFront,0.5046,2600,2016.7146,1.8421,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1300,leftBack,0.5007,2600,2011.182,1.5126,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightFront,0.4928,2600,2016.5496,1.5363,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1300,rightBack,0.5044,2600,1996.8802,1.4555,RUN_USING_ENCODER,12.444
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftFront,0.5124,2800,2002.6546,1.7639,RUN_USING_ENCODER,12.432
1,00000000-aaaa-0000-0000-000000000004,ExampleOpMode,2025-03-15T10:00:00Z,1400,leftBack,0.4959,2800,1993.5528,1.5435,RUN_USING_ENCODER,12.432
