schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.4862,0,1705.0394,1.5903,RUN_USING_ENCODER,11
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.5194,0,1683.2597,1.6145,RUN_USING_ENCODER,11
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.5146,0,1695.3745,1.6252,RUN_USING_ENCODER,11
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.4921,0,1709.8581,1.6265,RUN_USING_ENCODER,11
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.4872,170,1705.4321,1.6364,RUN_USING_ENCODER,10.992
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.498,170,1707.7594,1.6315,RUN_USING_ENCODER,10.992
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.5022,170,1701.7271,1.6326,RUN_USING_ENCODER,10.992
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.485,170,1715.883,1.6294,RUN_USING_ENCODER,10.992
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.4876,340,1689.3376,1.5559,RUN_USING_ENCODER,10.984
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.4888,340,1709.4011,1.5628,RUN_USING_ENCODER,10.984
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.4976,340,1702.8601,1.575,RUN_USING_ENCODER,10.984
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.5097,340,1687.8389,1.5914,RUN_USING_ENCODER,10.984
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4887,510,1703.8546,1.6363,RUN_USING_ENCODER,10.976
1,00000000-aaaa-0000-0000-000000000013,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.4851,510,1674.1473,1.6332,RUN_USING_ENCODER,10.976
