schema_version,run_id,opmode_name,run_started_at,timestamp_ms,device_name,commanded_power,encoder_position_ticks,encoder_velocity_ticks_per_second,current_amps,motor_mode,battery_voltage
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,0,leftFront,0.4927,0,1780.5661,1.6884,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,0,leftBack,0.5046,0,2012.1409,1.4706,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,0,rightFront,0.4854,0,2002.9861,1.4562,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,0,rightBack,0.5132,0,1983.6001,1.5273,RUN_USING_ENCODER,12.6
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,100,leftFront,0.5175,176,1742.6633,1.7141,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,100,leftBack,0.4822,200,2003.8358,1.4816,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,100,rightFront,0.4881,200,1993.5713,1.5074,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,100,rightBack,0.5044,200,1985.2222,1.505,RUN_USING_ENCODER,12.588
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,200,leftFront,0.4924,352,1741.9647,1.7206,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,200,leftBack,0.4988,400,2018.7785,1.5489,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,200,rightFront,0.4949,400,2027.2326,1.4695,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,200,rightBack,0.4819,400,2007.662,1.4902,RUN_USING_ENCODER,12.576
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,300,leftFront,0.4888,528,1769.0677,1.7052,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,300,leftBack,0.4842,600,2025.0767,1.5041,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,300,rightFront,0.5103,600,1981.8996,1.5367,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,300,rightBack,0.4956,600,1984.4921,1.4613,RUN_USING_ENCODER,12.564
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,400,leftFront,0.4896,704,1746.6658,1.7167,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,400,leftBack,0.4801,800,1973.7876,1.498,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,400,rightFront,0.5163,800,2009.7243,1.5162,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,400,rightBack,0.4855,800,1976.8573,1.4857,RUN_USING_ENCODER,12.552
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,500,leftFront,0.4903,880,1781.4666,1.7059,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,500,leftBack,0.4823,1000,1997.5244,1.5058,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,500,rightFront,0.4946,1000,1982.8226,1.4886,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,500,rightBack,0.5125,1000,1989.4341,1.4569,RUN_USING_ENCODER,12.54
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,600,leftFront,0.5079,1056,1738.6582,1.7208,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,600,leftBack,0.5186,1200,2027.1024,1.5224,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,600,rightFront,0.4834,1200,1990.3162,1.5369,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,600,rightBack,0.4863,1200,1980.9959,1.5337,RUN_USING_ENCODER,12.528
1,00000000-aaaa-0000-0000-000000000003,ExampleOpMode,2025-03-15T10:00:00Z,700,leftFront,0.5096,1232,1753.9846,1.6954,RUN_USING_ENCODER,12.516
